Date,Product_Name,Actual_Sales
2025-11-13,Streaky Bacon,1
2025-11-14,Streaky Bacon,0
2025-11-15,Streaky Bacon,0
2025-11-16,Streaky Bacon,0
2025-11-17,Streaky Bacon,0
2025-11-18,Streaky Bacon,0
2025-11-19,Streaky Bacon,0
2025-11-20,Streaky Bacon,1
2025-11-21,Streaky Bacon,0
2025-11-22,Streaky Bacon,0
2025-11-23,Streaky Bacon,0
2025-11-24,Streaky Bacon,0
2025-11-25,Streaky Bacon,0
2025-11-26,Streaky Bacon,0
2025-11-27,Streaky Bacon,1
2025-11-28,Streaky Bacon,0
2025-11-29,Streaky Bacon,0
2025-11-30,Streaky Bacon,0
2025-11-01,Sweet Pot Fries,0
2025-11-02,Sweet Pot Fries,0
2025-11-03,Sweet Pot Fries,0
2025-11-04,Sweet Pot Fries,0
2025-11-05,Sweet Pot Fries,0
2025-11-06,Sweet Pot Fries,0
2025-11-07,Sweet Pot Fries,0
2025-11-08,Sweet Pot Fries,0
2025-11-09,Sweet Pot Fries,0
2025-11-10,Sweet Pot Fries,0
2025-11-11,Sweet Pot Fries,0
2025-11-12,Sweet Pot Fries,0
2025-11-13,Sweet Pot Fries,0
2025-11-14,Sweet Pot Fries,0
2025-11-15,Sweet Pot Fries,0
2025-11-16,Sweet Pot Fries,0
2025-11-17,Sweet Pot Fries,0
2025-11-18,Sweet Pot Fries,0
2025-11-19,Sweet Pot Fries,0
2025-11-20,Sweet Pot Fries,0
2025-11-21,Sweet Pot Fries,0
2025-11-22,Sweet Pot Fries,0
2025-11-23,Sweet Pot Fries,0
2025-11-24,Sweet Pot Fries,0
2025-11-25,Sweet Pot Fries,0
2025-11-26,Sweet Pot Fries,0
2025-11-27,Sweet Pot Fries,0
2025-11-28,Sweet Pot Fries,0
2025-11-29,Sweet Pot Fries,0
2025-11-30,Sweet Pot Fries,0
2025-11-01,Syrups,10
2025-11-02,Syrups,15
2025-11-03,Syrups,14
2025-11-04,Syrups,7
2025-11-05,Syrups,8
2025-11-06,Syrups,6
2025-11-07,Syrups,11
2025-11-08,Syrups,16
2025-11-09,Syrups,15
2025-11-10,Syrups,5
